"AGE_GROUP_ARAB","AGE_GROUP_ENGL","NATIONALITY_ARAB","NATIONALITY_ENGL","OBSVALUE_OBSV","SEX_ARAB","SEX_ENGL","YEAR_TIME"
"20-29","20-29","غير سعودي","Non Saudi","97","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","2214","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","562","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","494","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","473","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","369","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","17990","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","5326","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","3697","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","200256","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","7426","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","16113","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","276","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","2826","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","1007","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","433","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","13536","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","27448","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","12049","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","7820","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","6688","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","15032","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","31547","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","8165","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","13968","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","1606","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","356","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","1177","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","2822","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","394","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","9101","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","1502","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","208","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","660","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","3752","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","50889","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","7398","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","10386","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","4355","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","5059","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","2646","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","1184","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","1299","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","64231","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","30134","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","8824","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","2895","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","1738","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","1137","أنثى","Female","1441"
"30-39","30-39","غير سعودي","Non Saudi","1848","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","3064","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","868","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","7821","ذكر","Male","1440"
"70+","70+","غير سعودي","Non Saudi","3176","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","2141","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","493","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","783","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","140","أنثى","Female","1441"
"20-29","20-29","سعودي"," Saudi ","44768","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","896","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","162970","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","14906","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","917","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","490","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","1228","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","820","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","291","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","1496","ذكر","Male","1440"
"70+","70+","غير سعودي","Non Saudi","1531","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","568","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","625","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","471","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","5715","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","70019","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","16356","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","64563","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","4535","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","2002","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","9904","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","26835","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","2532","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","2812","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","7893","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","2506","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","731","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","25","أنثى","Female","1440"
"70+","70+","غير سعودي","Non Saudi","115","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","453352","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","12346","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","6951","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","8433","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","9556","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","7512","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","911","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","2061","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","1286","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","1092","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","3104","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","606","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","500","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","1481","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","154","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","95","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","268","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","9476","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","18383","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","122550","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","2346","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","9391","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","1807","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","1392","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","7981","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","1126","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","1341","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","615","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","1246","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","134","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","140604","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","42210","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","11182","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","6351","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","3985","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","1055","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","10242","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","18124","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","5662","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","635","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","5130","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","1996","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","727","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","645","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","201","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","2030","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","1047","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","4177","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","5587","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","4497","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","8363","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","38812","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","291","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","2090","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","5924","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","7104","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","7734","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","9358","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","1289","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","3323","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","3027","ذكر","Male","1439"
"70+","70+","غير سعودي","Non Saudi","771","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","2530","ذكر","Male","1441"
"60-69","60-69","غير سعودي","Non Saudi","1936","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","220","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","158","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","99","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","5392","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","5296","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","180600","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","2745","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","11688","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","90","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","24453","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","4372","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","407","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","2014","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","2003","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","410","ذكر","Male","1441"
"60-69","60-69","غير سعودي","Non Saudi","655","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","430","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","1644","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","484","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","93","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","264","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","455","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","25091","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","9178","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","10071","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","20209","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","8682","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","461","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","5728","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","69","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","892","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","461","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","1564","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","3150","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","181","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","2616","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","50359","أنثى","Female","1440"
"30-39","30-39","سعودي"," Saudi ","3637","أنثى","Female","1441"
"60-69","60-69","غير سعودي","Non Saudi","1171","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","2427","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","5099","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","3471","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","6401","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","5097","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","275","أنثى","Female","1441"
"70+","70+","غير سعودي","Non Saudi","166","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","582","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","15029","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","25991","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","745","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","974","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","5189","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","167","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","4284","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","2619","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","1205","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","266","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","62","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","492","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","2682","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","4459","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","25752","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","16713","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","129062","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","10882","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","15276","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","5415","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","104","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","1868","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","4158","ذكر","Male","1441"
